dist,dx,dy,goal,player,shot,team,x,y
33.09833204,-28.56,16.728,FALSE,Jefferson FarfÃ¡n,TRUE,Schalke,28.56,21.08
24.02194049,-18.795,-14.96,FALSE,Tranquillo Barnetta,TRUE,Schalke,18.795,44.472
27.93209912,21.735,17.544,FALSE,Ariel Ibagaza,TRUE,Olympiacos,83.265,20.128
27.30662998,-24.675,11.696,FALSE,Jefferson FarfÃ¡n,TRUE,Schalke,24.675,26.588
31.30918977,-25.41,18.292,FALSE,Lewis Holtby,TRUE,Schalke,25.41,20.264
12.34253722,11.865,-3.4,FALSE,Leandro Greco,TRUE,Olympiacos,93.135,31.824
17.10802972,-11.445,12.716,FALSE,Klaas-Jan Huntelaar,TRUE,Schalke,11.445,23.732
9.434056604,7.98,5.032,FALSE,Rafik Djebbour,TRUE,Olympiacos,97.02,24.888
13.58477089,-11.34,-7.48,TRUE,Isco,TRUE,MÃ¡laga,11.34,44.88
21.31288258,20.79,-4.692,FALSE,Igor Denisov,TRUE,Zenit,84.21,42.84
9.186435707,-8.925,-2.176,TRUE,Javier Saviola,TRUE,MÃ¡laga,8.925,34.136
10.61567713,-10.605,0.476,FALSE,Javier Saviola,TRUE,MÃ¡laga,10.605,29.444
12.64919163,-4.095,11.968,FALSE,Javier Saviola,TRUE,MÃ¡laga,4.095,24.412
29.40284478,29.295,2.516,FALSE,Igor Denisov,TRUE,Zenit,75.705,29.444
22.21673534,-19.215,-11.152,FALSE,Eliseu,TRUE,MÃ¡laga,19.215,48.892
30.72826061,27.72,-13.26,FALSE,Roman Shirokov,TRUE,Zenit,77.28,42.432
17.01188529,-16.905,-1.904,FALSE,Eliseu,TRUE,MÃ¡laga,16.905,41.344
33.36563316,25.41,21.624,FALSE,Viktor Fayzulin,TRUE,Zenit,79.59,14.824
10.26847725,-7.035,-7.48,FALSE,Javier Saviola,TRUE,MÃ¡laga,7.035,37.264
20.27640562,-20.265,-0.68,FALSE,Javier Saviola,TRUE,MÃ¡laga,20.265,32.3
27.18000414,21.735,-16.32,FALSE,Hulk,TRUE,Zenit,83.265,47.26
26.42730272,25.725,-6.052,FALSE,Hulk,TRUE,Zenit,79.275,33.728
9.097011872,6.405,-6.46,FALSE,Aleksandr Kerzhakov,TRUE,Zenit,98.595,43.656
11.04197306,11.025,0.612,FALSE,Roman Shirokov,TRUE,Zenit,93.975,34
7.518266356,7.035,2.652,FALSE,Nicolas Lombaerts,TRUE,Zenit,97.965,35.428
15.85289677,-13.02,-9.044,FALSE,Isco,TRUE,MÃ¡laga,13.02,47.6
17.34205628,-7.77,15.504,FALSE,Aleksandr Kerzhakov,TRUE,Zenit,7.77,20.332
12.75150066,12.705,-1.088,FALSE,Eliseu,TRUE,MÃ¡laga,92.295,35.292
14.35693686,-14.07,-2.856,FALSE,Roman Shirokov,TRUE,Zenit,14.07,41.48
12.86753127,8.505,9.656,FALSE,Nacho Monreal,TRUE,MÃ¡laga,96.495,19.652
23.00020217,21.63,7.82,TRUE,Isco,TRUE,MÃ¡laga,83.37,29.172
9.381194807,8.82,-3.196,FALSE,JoaquÃ_n,TRUE,MÃ¡laga,96.18,36.516
27.31219244,27.3,-0.816,FALSE,Duda,TRUE,MÃ¡laga,77.7,33.456
11.51750186,-11.025,-3.332,FALSE,Kanu,TRUE,Anderlecht,11.025,39.44
28.85526338,-24.465,-15.3,FALSE,Sacha Kljestan,TRUE,Anderlecht,24.465,45.832
10.56317381,9.135,-5.304,FALSE,Luca Antonini,TRUE,Milan,95.865,35.088
8.660527062,6.195,-6.052,FALSE,Mathieu Flamini,TRUE,Milan,98.805,43.18
12.76555381,8.19,9.792,FALSE,Kevin-Prince Boateng,TRUE,Milan,96.81,25.092
15.25885844,-3.885,14.756,FALSE,Guillaume Gillet,TRUE,Anderlecht,3.885,22.644
7.687845212,6.09,4.692,FALSE,Kevin-Prince Boateng,TRUE,Milan,98.91,25.024
13.82960318,6.93,11.968,FALSE,Kevin-Prince Boateng,TRUE,Milan,98.07,19.108
16.62920831,15.435,6.188,FALSE,Urby Emanuelson,TRUE,Milan,89.565,27.608
14.23264262,-12.39,-7.004,FALSE,DieudonnÃ© Mbokani,TRUE,Anderlecht,12.39,44.88
30.31864854,-30.135,3.332,FALSE,Cheikhou KouyatÃ©,TRUE,Anderlecht,30.135,33.252
8.381990754,2.835,-7.888,FALSE,Lucas Biglia,TRUE,Anderlecht,102.165,43.316
9.880702455,-9.555,-2.516,FALSE,Kevin-Prince Boateng,TRUE,Milan,9.555,37.74
7.631921449,-3.465,-6.8,FALSE,Stephan El Shaarawy,TRUE,Milan,3.465,37.876
17.51113931,-4.2,-17,FALSE,Urby Emanuelson,TRUE,Milan,4.2,46.92
17.51113931,-4.2,-17,FALSE,Urby Emanuelson,TRUE,Milan,4.2,46.92
14.98261873,-11.34,-9.792,FALSE,Mathieu Flamini,TRUE,Milan,11.34,39.372
34.94132224,23.52,25.84,FALSE,DieudonnÃ© Mbokani,TRUE,Anderlecht,81.48,11.9
25.32072866,-24.57,6.12,FALSE,Siem de Jong,TRUE,Ajax,24.57,27.88
15.91590952,12.6,-9.724,FALSE,Mario GÃ¶tze,TRUE,Dortmund,92.4,46.104
25.72976488,5.985,25.024,FALSE,Robert Lewandowski,TRUE,Dortmund,99.015,10.744
22.66698535,22.575,2.04,FALSE,Sebastian Kehl,TRUE,Dortmund,82.425,30.94
26.49503442,20.265,17.068,FALSE,Sebastian Kehl,TRUE,Dortmund,84.735,16.796
16.88795503,14.175,9.18,FALSE,Ryan Babel,TRUE,Ajax,90.825,25.228
10.91713154,9.345,5.644,FALSE,Ryan Babel,TRUE,Ajax,95.655,26.928
15.54625215,-15.33,-2.584,FALSE,Robert Lewandowski,TRUE,Dortmund,15.33,38.216
15.3791819,-11.97,9.656,FALSE,Marco Reus,TRUE,Dortmund,11.97,26.928
25.95392502,-23.1,11.832,FALSE,Ä°lkay GÃ_ndoÄŸan ,TRUE,Dortmund,23.1,23.732
21.64165338,-21.525,2.244,FALSE,Ä°lkay GÃ_ndoÄŸan ,TRUE,Dortmund,21.525,34.136
11.42377735,-11.025,2.992,FALSE,Mats Hummels,TRUE,Dortmund,11.025,34
40.11523606,-37.59,-14.008,FALSE,Marco Reus,TRUE,Dortmund,37.59,50.796
8.245144268,-8.19,0.952,FALSE,Robert Lewandowski,TRUE,Dortmund,8.19,37.264
12.66476249,-9.135,8.772,FALSE,Sebastian Kehl,TRUE,Dortmund,9.135,29.172
11.46103665,-9.975,5.644,TRUE,Robert Lewandowski,TRUE,Dortmund,9.975,27.132
32.53509834,23.94,22.032,FALSE,Cristiano Ronaldo,TRUE,Real Madrid,81.06,16.116
14.76136339,10.605,10.268,FALSE,Cristiano Ronaldo,TRUE,Real Madrid,94.395,25.024
21.57540303,13.02,17.204,FALSE,Cristiano Ronaldo,TRUE,Real Madrid,91.98,17.612
12.79952066,10.185,-7.752,FALSE,ÃÅlvaro Arbeloa,TRUE,Real Madrid,94.815,44.132
7.982607093,7.98,0.204,FALSE,Gonzalo HiguaÃ_n,TRUE,Real Madrid,97.02,33.796
10.33757346,9.345,-4.42,FALSE,Sami Khedira,TRUE,Real Madrid,95.655,40.596
31.25101728,26.775,16.116,FALSE,Cristiano Ronaldo,TRUE,Real Madrid,78.225,13.192
25.21127766,21.315,13.464,FALSE,Michael Essien,TRUE,Real Madrid,83.685,23.528
23.32432687,18.9,13.668,FALSE,Marcelo,TRUE,Real Madrid,86.1,20.4
3.652892689,1.995,3.06,FALSE,Gonzalo HiguaÃ_n,TRUE,Real Madrid,103.005,29.784
29.46535701,23.1,-18.292,FALSE,ÃÅngel Di MarÃ_a,TRUE,Real Madrid,81.9,48.28
31.99111478,28.455,14.62,FALSE,ÃÅngel Di MarÃ_a,TRUE,Real Madrid,76.545,23.46
25.01367314,-24.99,-1.088,FALSE,ÃÅngel Di MarÃ_a,TRUE,Real Madrid,24.99,31.688
7.37259493,6.93,2.516,FALSE,Javi GarcÃ_a,TRUE,Man. City,98.07,35.428
