player_id,outcome,min,sec,x,y,to_x,to_y,field_pass,type,team
37605,1,2,11,62.9,40.1,61.8,57.3,t,1,Germany
44989,1,2,14,61.8,57.3,,,t,100,Germany
44989,1,2,14,61.8,57.3,60.8,61.5,t,101,Germany
44989,1,2,15,60.8,61.5,69.4,67,t,1,Germany
15208,1,2,15,69.4,67,,,t,100,Germany
15208,1,2,16,69.4,67,53.5,64.9,t,1,Germany
40691,1,2,17,53.5,64.9,,,t,100,Germany
40691,1,2,18,53.5,64.9,61.2,40.4,t,1,Germany
50117,1,2,23,19,71.7,,,f,55,Argentina
15207,1,2,23,59.6,26.8,90.8,15.9,f,2,Germany
28549,0,2,44,20.5,67.6,59.4,71.1,f,1,Argentina
17127,1,2,46,30,29.5,33.8,39.1,t,1,Germany
15207,1,2,46,33.8,39.1,,,t,100,Germany
15207,1,2,47,33.8,39.1,20.6,37.7,t,1,Germany
40691,1,2,50,20.6,37.7,,,f,49,Germany
40691,1,2,51,20.6,37.7,12,56.7,t,1,Germany
20388,0,2,54,12,56.7,73,100,t,1,Germany
86813,1,2,56,29.2,-1.4,,,f,5,Argentina
20388,0,2,56,70.8,101.4,,,f,5,Germany
86813,0,3,14,34.8,0,57.1,25,f,1,Argentina
15208,1,3,17,38.6,69.4,60.9,85.1,t,1,Germany
69600,1,3,19,60.9,85.1,,,f,49,Germany
69600,0,3,19,60.2,85.7,65.6,74.5,t,1,Germany
149786,1,3,20,36.2,30.6,,,f,49,Argentina
149786,1,3,20,36.2,30.6,41.4,36.3,t,1,Argentina
20578,1,3,20,41.4,36.3,,,t,100,Argentina
20578,1,3,20,41.4,36.3,39.2,36.1,t,Argentina
20578,1,3,21,39.2,36.1,29,49.6,t,1,Argentina
50117,1,3,23,29,49.6,,,t,100,Argentina
50117,1,3,24,29,49.6,46.3,90.9,t,1,Argentina
104512,1,3,27,46.3,90.9,42.3,91.1,t,101,Argentina
104512,1,3,27,46.3,90.9,,,t,100,Argentina
104512,1,3,28,42.3,91.1,48.3,82.1,t,1,Argentina
82752,1,3,30,48.3,82.1,,,t,100,Argentina
82752,1,3,31,48.3,82.1,59.4,94.2,t,1,Argentina
88746,0,3,33,59.4,94.2,86.6,63.3,t,1,Argentina
20388,1,3,34,0,0,,,f,59,Germany
20388,1,3,35,13,39.4,,,f,52,Germany
20388,1,3,36,15,43.6,34.4,93.8,f,1,Germany
69600,1,3,42,34.4,93.8,61.4,95.7,f,101,Germany
69600,1,3,42,34.4,93.8,,,f,100,Germany
69600,1,3,43,61.4,95.7,53.5,88.7,t,1,Germany
44989,1,3,48,53.5,88.7,,,t,100,Germany
44989,1,3,48,53.5,88.7,53.5,65.7,t,101,Germany
44989,1,3,49,53.5,65.7,50.3,30.1,t,1,Germany
17127,1,3,52,50.3,30.1,53.9,29.7,t,101,Germany
17127,1,3,52,50.3,30.1,,,t,100,Germany
17127,1,3,53,53.9,29.7,52,58.1,t,1,Germany
40691,1,3,55,52,58.1,,,t,100,Germany
